ID;SESSÃO;NOME_SISTEMA;NOME_CORRIGIDO;SESSÃO_CORRETA
206110;#02 MERCEARIA - MASSAS;CUP NOODLES NISSIN 69G COST. C/ MOLHO DE;CUP NOODLES NISSIN 69G COSTELA COM MOLHO DE CHURRASCO;#02 MERCEARIA - MASSAS INSTANTÂNEAS
206455;#02 MERCEARIA - MASSAS;CUP NOODLES NISSIN 69G GALINHA CAIPIRA N;CUP NOODLES NISSIN 69G GALINHA CAIPIRA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
206966;#02 MERCEARIA - MASSAS;CUP NOODLES NISSIN 69G GALI CAIP PICN NO;CUP NOODLES NISSIN 69G GALINHA CAIPIRA PICANTE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
206109;#02 MERCEARIA - MASSAS;CUP NOODLES NISSIN 69G QUEIJIO CHEDDAR;CUP NOODLES NISSIN 69G QUEIJIO CHEDDAR;#02 MERCEARIA - MASSAS INSTANTÂNEAS
148436;#02 MERCEARIA - MASSAS;CUP NOODLES NISSIN 69GR BOLONHESA;CUP NOODLES NISSIN 69GR BOLONHESA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
210277;#02 MERCEARIA - MASSAS;NISSIN CUP NOODLES FRANGO TERIYAKI 72G;CUP NOODLES NISSIN 72G FRANGO TERIYAKI;#02 MERCEARIA - MASSAS INSTANTÂNEAS
125011;#02 MERCEARIA - MASSAS;MAC CRISTAL PARAFUSO OVOS 500GR;MACARRÃO CRISTAL 500G PARAFUSO COM OVOS;#02 MERCEARIA - MASSAS
290255;#02 MERCEARIA - MASSAS;MACARRÃO CRISTAL 500GR SEMOLA ESPAGUETE;MACARRÃO CRISTAL 500G SEMOLA ESPAGUETE;#02 MERCEARIA - MASSAS
106790;#02 MERCEARIA - MASSAS;MAC CRISTAL SEMOLA PADRE NOSSO 500GR;MACARRÃO CRISTAL 500G SEMOLA PADRE NOSSO;#02 MERCEARIA - MASSAS
108415;#02 MERCEARIA - MASSAS;MAC CRISTAL 500G SEMOLA PARAFUSO;MACARRÃO CRISTAL 500G SEMOLA PARAFUSO;#02 MERCEARIA - MASSAS
